id,lat,long,id_2,lat_2,long_2,id_total,type
"80","45.7986915700","-121.7021540000","50","46.1256132200","-123.2365730000","8050","2"
"80","45.7986915700","-121.7021540000","49","45.7604816100","-123.8453470000","8049","2"
"80","45.7986915700","-121.7021540000","48","45.1069485200","-122.5085740000","8048","2"
"80","45.7986915700","-121.7021540000","47","45.5730257200","-121.8555490000","8047","3"
"80","45.7986915700","-121.7021540000","46","45.2966102200","-122.1155410000","8046","2"
"80","45.7986915700","-121.7021540000","45","45.7407337800","-122.2048990000","8045","2"
"80","45.7986915700","-121.7021540000","44","45.9754319500","-122.6560260000","8044","2"
"80","45.7986915700","-121.7021540000","42","46.1412665900","-123.9236770000","8042","2"
"81","47.3143365100","-120.6896500000","100","49.7935887700","-124.9183430000","81100","2"
"81","47.3143365100","-120.6896500000","98","50.1222464700","-125.0564740000","8198","2"
"81","47.3143365100","-120.6896500000","97","50.4604304800","-124.1467120000","8197","2"
"81","47.3143365100","-120.6896500000","96","50.9129302100","-122.3986340000","8196","2"
"81","47.3143365100","-120.6896500000","95","50.7462197800","-121.4269500000","8195","2"
"81","47.3143365100","-120.6896500000","94","48.6571158800","-123.5175320000","8194","2"
"81","47.3143365100","-120.6896500000","93","49.4382733100","-124.2224790000","8193","2"
"81","47.3143365100","-120.6896500000","92","49.8764835700","-123.4365590000","8192","2"
"81","47.3143365100","-120.6896500000","89","49.6359785200","-117.9795440000","8189","3"
"81","47.3143365100","-120.6896500000","88","48.9870156000","-119.3551630000","8188","3"
"81","47.3143365100","-120.6896500000","86","48.7950688200","-124.0395790000","8186","2"
"81","47.3143365100","-120.6896500000","85","48.4248857400","-117.7738870000","8185","3"
"81","47.3143365100","-120.6896500000","84","47.7622123300","-117.8607200000","8184","3"
"81","47.3143365100","-120.6896500000","83","47.3828889300","-116.5125230000","8183","3"
"81","47.3143365100","-120.6896500000","81","47.3143365100","-120.6896500000","8181","3"
"81","47.3143365100","-120.6896500000","57","44.7756118200","-123.8522020000","8157","2"
"81","47.3143365100","-120.6896500000","56","45.1914965100","-123.7448030000","8156","2"
"81","47.3143365100","-120.6896500000","41","46.2396430700","-122.0994960000","8141","2"
"81","47.3143365100","-120.6896500000","40","47.2936767900","-123.1816370000","8140","2"
"81","47.3143365100","-120.6896500000","39","47.0224387800","-123.5006580000","8139","3"
"81","47.3143365100","-120.6896500000","38","46.7104448000","-123.8730830000","8138","2"
"81","47.3143365100","-120.6896500000","35","47.0772485300","-123.9686490000","8135","2"
"81","47.3143365100","-120.6896500000","34","47.3850263800","-124.0754580000","8134","2"
"81","47.3143365100","-120.6896500000","32","47.9401508000","-123.7297350000","8132","2"
"81","47.3143365100","-120.6896500000","31","47.8263151600","-122.9132100000","8131","2"
"81","47.3143365100","-120.6896500000","30","46.8453611100","-122.7796990000","8130","2"
"81","47.3143365100","-120.6896500000","29","47.1531389600","-122.2906270000","8129","2"
"81","47.3143365100","-120.6896500000","28","47.4552952900","-122.1866290000","8128","2"
"81","47.3143365100","-120.6896500000","27","47.6295622000","-122.2540880000","8127","2"
"81","47.3143365100","-120.6896500000","26","47.1728142600","-121.6132350000","8126","2"
"81","47.3143365100","-120.6896500000","25","47.5874008500","-121.4825350000","8125","2"
"81","47.3143365100","-120.6896500000","24","47.8502065900","-121.9210130000","8124","2"
"81","47.3143365100","-120.6896500000","23","48.6554883500","-122.5674870000","8123","2"
"81","47.3143365100","-120.6896500000","22","48.3139814300","-122.0222000000","8122","2"
"81","47.3143365100","-120.6896500000","21","48.5079236300","-122.3594910000","8121","2"
"81","47.3143365100","-120.6896500000","20","48.7974315600","-121.9870660000","8120","2"
"81","47.3143365100","-120.6896500000","19","48.9196994700","-122.6644580000","8119","2"
"81","47.3143365100","-120.6896500000","18","49.1979643700","-122.1332250000","8118","2"
"81","47.3143365100","-120.6896500000","14","46.9711424700","-119.8572150000","8114","3"
"81","47.3143365100","-120.6896500000","11","48.0701482900","-119.0224200000","8111","3"
"81","47.3143365100","-120.6896500000","10","48.1263634200","-116.1751240000","8110","2"
