target,source,flow,target_lat,target_lon,source_lat,source_lon
16001,32013,-5.0,43.4508,-116.2413,41.4068,-118.1121
16001,32015,-38.0,43.4508,-116.2413,39.9330,-117.0385
16001,32031,141.0,43.4508,-116.2413,40.6657,-119.6643
16001,32033,-22.0,43.4508,-116.2413,39.4423,-114.9015
16001,32510,5.0,43.4508,-116.2413,39.1511,-119.7473
16001,33011,5.0,43.4508,-116.2413,42.9153,-71.7160
16001,34003,1.0,43.4508,-116.2413,40.9601,-74.0743
16001,34023,24.0,43.4508,-116.2413,40.4398,-74.4109
16001,35001,14.0,43.4508,-116.2413,35.0513,-106.6705
16001,35013,23.0,43.4508,-116.2413,32.3528,-106.8327
16001,35049,-5.0,43.4508,-116.2413,35.5065,-105.9764
16001,35051,18.0,43.4508,-116.2413,33.1306,-107.1924
16001,36045,-37.0,43.4508,-116.2413,44.0480,-75.9313
16001,36047,16.0,43.4508,-116.2413,40.6391,-73.9386
16001,36055,-10.0,43.4508,-116.2413,43.1469,-77.6960
16001,36067,20.0,43.4508,-116.2413,43.0061,-76.1946
16001,36081,110.0,43.4508,-116.2413,40.7038,-73.8201
16001,36083,-20.0,43.4508,-116.2413,42.7110,-73.5095
16001,36087,54.0,43.4508,-116.2413,41.1522,-74.0239
16001,36103,71.0,43.4508,-116.2413,40.8702,-72.8442
16001,36109,50.0,43.4508,-116.2413,42.4518,-76.4736
16001,37001,81.0,43.4508,-116.2413,36.0435,-79.3990
16001,37049,-6.0,43.4508,-116.2413,35.1235,-77.0913
16001,37051,-14.0,43.4508,-116.2413,35.0489,-78.8274
16001,37067,13.0,43.4508,-116.2413,36.1306,-80.2561
16001,37081,30.0,43.4508,-116.2413,36.0796,-79.7882
16001,37083,-23.0,43.4508,-116.2413,36.2573,-77.6513
16001,37089,-10.0,43.4508,-116.2413,35.3363,-82.4805
16001,37119,3.0,43.4508,-116.2413,35.2465,-80.8325
16001,37125,-10.0,43.4508,-116.2413,35.3110,-79.4818
16001,37133,-8.0,43.4508,-116.2413,34.7303,-77.4274
16001,37135,53.0,43.4508,-116.2413,36.0612,-79.1206
16001,37183,-7.0,43.4508,-116.2413,35.7904,-78.6507
16001,38005,-2.0,43.4508,-116.2413,48.0693,-99.3657
16001,38011,108.0,43.4508,-116.2413,46.1128,-103.5205
16001,38015,-13.0,43.4508,-116.2413,46.9773,-100.4688
16001,38017,29.0,43.4508,-116.2413,46.9330,-97.2482
16001,38035,-6.0,43.4508,-116.2413,47.9217,-97.4571
16001,38055,-9.0,43.4508,-116.2413,47.6070,-101.3220
16001,38059,-46.0,43.4508,-116.2413,46.7162,-101.2808
16001,38073,-10.0,43.4508,-116.2413,46.4562,-97.6574
16001,38077,5.0,43.4508,-116.2413,46.2646,-96.9483
16001,38089,8.0,43.4508,-116.2413,46.8108,-102.6550
16001,39025,-43.0,43.4508,-116.2413,39.0474,-84.1519
16001,39035,-7.0,43.4508,-116.2413,41.4243,-81.6588
16001,39049,83.0,43.4508,-116.2413,39.9693,-83.0091
16001,39057,-24.0,43.4508,-116.2413,39.6914,-83.8894
16001,39061,15.0,43.4508,-116.2413,39.1956,-84.5431
16001,39099,-18.0,43.4508,-116.2413,41.0147,-80.7764
16001,39113,8.0,43.4508,-116.2413,39.7544,-84.2904
16001,40017,123.0,43.4508,-116.2413,35.5424,-97.9818
16001,40031,-76.0,43.4508,-116.2413,34.6620,-98.4716
16001,40073,-7.0,43.4508,-116.2413,35.9453,-97.9416
16001,40131,-1.0,43.4508,-116.2413,36.3720,-95.6048
16001,40139,6.0,43.4508,-116.2413,36.7479,-101.4901
16001,40143,-21.0,43.4508,-116.2413,36.1212,-95.9414
16001,41001,153.0,43.4508,-116.2413,44.7091,-117.6755
16001,41003,-20.0,43.4508,-116.2413,44.4917,-123.4285
16001,41005,-241.0,43.4508,-116.2413,45.1879,-122.2203
16001,41007,-70.0,43.4508,-116.2413,45.9948,-123.6562
16001,41017,228.0,43.4508,-116.2413,43.9146,-121.2269
16001,41023,-12.0,43.4508,-116.2413,44.4913,-119.0073
16001,41027,2.0,43.4508,-116.2413,45.5193,-121.6514
16001,41029,-2.0,43.4508,-116.2413,42.4321,-122.7283
16001,41031,-38.0,43.4508,-116.2413,44.6294,-121.1764
16001,41033,-5.0,43.4508,-116.2413,42.3652,-123.5556
16001,41039,50.0,43.4508,-116.2413,43.9386,-122.8473
16001,41043,-68.0,43.4508,-116.2413,44.4887,-122.5341
16001,41045,80.0,43.4508,-116.2413,43.1935,-117.6231
16001,41047,-62.0,43.4508,-116.2413,44.9032,-122.5846
16001,41049,-3.0,43.4508,-116.2413,45.4193,-119.5848
16001,41051,-11.0,43.4508,-116.2413,45.5465,-122.4147
16001,41053,-8.0,43.4508,-116.2413,44.9035,-123.4131
16001,41059,-20.0,43.4508,-116.2413,45.5916,-118.7366
16001,41061,280.0,43.4508,-116.2413,45.3105,-118.0090
16001,41063,83.0,43.4508,-116.2413,45.5798,-117.1809
16001,41067,-100.0,43.4508,-116.2413,45.5598,-123.0983
16001,41071,49.0,43.4508,-116.2413,45.2326,-123.3078
16001,42003,-8.0,43.4508,-116.2413,40.4689,-79.9817
16001,42029,-3.0,43.4508,-116.2413,39.9733,-75.7484
16001,42075,-17.0,43.4508,-116.2413,40.3672,-76.4576
16001,42095,-5.0,43.4508,-116.2413,40.7545,-75.3075
16001,42101,2.0,43.4508,-116.2413,40.0082,-75.1331
16001,42107,-15.0,43.4508,-116.2413,40.7058,-76.2163
16001,42117,-12.0,43.4508,-116.2413,41.7728,-77.2544
16001,42125,-11.0,43.4508,-116.2413,40.1894,-80.2485
16001,45013,-7.0,43.4508,-116.2413,32.3854,-80.7301
16001,45015,-256.0,43.4508,-116.2413,33.1976,-79.9509
16001,45073,86.0,43.4508,-116.2413,34.7533,-83.0658
16001,45077,-7.0,43.4508,-116.2413,34.8877,-82.7252
16001,45079,-35.0,43.4508,-116.2413,34.0223,-80.9038
