source,target,flow,source_lat,source_lon,target_lat,target_lon,source_num
41003,41005,-699,44.4917,-123.4285,45.1879,-122.2203,41005
41007,41005,-168,45.9948,-123.6562,45.1879,-122.2203,41005
41009,41005,-327,45.9437,-123.0891,45.1879,-122.2203,41005
41011,41005,-67,43.1742,-124.0597,45.1879,-122.2203,41005
41013,41005,-177,44.1422,-120.356,45.1879,-122.2203,41005
41015,41005,-3,42.4576,-124.1563,45.1879,-122.2203,41005
41017,41005,-397,43.9146,-121.2269,45.1879,-122.2203,41005
41019,41005,-49,43.2795,-123.1666,45.1879,-122.2203,41005
41021,41005,-29,45.3778,-120.2115,45.1879,-122.2203,41005
41023,41005,-28,44.4913,-119.0073,45.1879,-122.2203,41005
41027,41005,-31,45.5193,-121.6514,45.1879,-122.2203,41005
41029,41005,-266,42.4321,-122.7283,45.1879,-122.2203,41005
41031,41005,-68,44.6294,-121.1764,45.1879,-122.2203,41005
41033,41005,-181,42.3652,-123.5556,45.1879,-122.2203,41005
41035,41005,-54,42.6863,-121.65,45.1879,-122.2203,41005
41037,41005,-7,42.793,-120.3872,45.1879,-122.2203,41005
41039,41005,-666,43.9386,-122.8473,45.1879,-122.2203,41005
41041,41005,-40,44.6418,-123.8681,45.1879,-122.2203,41005
41043,41005,-117,44.4887,-122.5341,45.1879,-122.2203,41005
41045,41005,-40,43.1935,-117.6231,45.1879,-122.2203,41005
41047,41005,"-1,399",44.9032,-122.5846,45.1879,-122.2203,41005
41049,41005,-4,45.4193,-119.5848,45.1879,-122.2203,41005
41051,41005,"-7,700",45.5465,-122.4147,45.1879,-122.2203,41005
41053,41005,-330,44.9035,-123.4131,45.1879,-122.2203,41005
41055,41005,-3,45.4052,-120.6894,45.1879,-122.2203,41005
41057,41005,-22,45.4634,-123.7128,45.1879,-122.2203,41005
41059,41005,-104,45.5916,-118.7366,45.1879,-122.2203,41005
41061,41005,-64,45.3105,-118.009,45.1879,-122.2203,41005
41065,41005,-129,45.1602,-121.1676,45.1879,-122.2203,41005
41067,41005,"-2,995",45.5598,-123.0983,45.1879,-122.2203,41005
41069,41005,-9,44.7262,-120.0277,45.1879,-122.2203,41005
41071,41005,"-1,023",45.2326,-123.3078,45.1879,-122.2203,41005
42003,41005,-11,40.4689,-79.9817,45.1879,-122.2203,41005
42091,41005,-5,40.211,-75.3675,45.1879,-122.2203,41005
42095,41005,-6,40.7545,-75.3075,45.1879,-122.2203,41005
42103,41005,-38,41.3319,-75.0334,45.1879,-122.2203,41005
42133,41005,-10,39.9201,-76.7263,45.1879,-122.2203,41005
